full_text,Sentiment
"['bacot', 'gue', 'calon legislatif', 'pdi']",Neutral
"['politik', 'dinasti', 'langsung', 'anak', 'menteri', 'gibran', 'pilih', 'rakyat']",Neutral
"['nurfatoni', 'tweet', 'maksud', 'politik', 'dinasti', 'milih', 'rakyat']",Neutral
"['suyatno', 'salah', 'politik', 'dinasti', 'milih', 'rakyat']",Negative
"['ji', 'politik', 'dinasti', 'ujungujungnya', 'rakyat', 'milih', 'ngga', 'dinasti']",Neutral
['dinasti'],Neutral
"['milih', 'orang', 'bodoh']",Neutral
"['rakyat', 'milih', 'iya']",Positive
"['dinasti', 'dinasti', 'sila', 'milih', 'rakyat', 'pakai', 'acara', 'mengoprek', 'uu']",Positive
"['ngga', 'tata', 'isu', 'keluarga', 'beda', 'kartu', 'keluarga', 'kk', 'milih', 'rakyat', 'lihat', 'alami', 'ngaturcawe', 'lugu', 'bin', 'dungu', 'orang', 'dukung', 'alas', 'ttg', 'politik', 'dinasti', 'mukenye', 'ndeso']",Positive
"['rakyat', 'konoha', 'gampang', 'bodoh']",Neutral
"['dinasti', 'politik', 'milih', 'rakyat', 'elit', 'politik', 'menyalahgunakan', 'kuasa']",Positive
"['adiym', 'mujani', 'paham', 'situ', 'politik', 'dinasti', 'kalah', 'anak', 'menantu', 'pilkada', 'bela', 'milih', 'rakyat', 'imbas', 'kuas']",Negative
"['politik', 'dinasti', 'dr', 'wkwk', 'milih', 'rakyat']",Neutral
[],Neutral
"['kait', 'politik', 'dinasti']",Neutral
"['dlm', 'negara', 'demokrasi', 'milih', 'rakyat', 'bener', 'tp', 'dlm', 'negara', 'demokrasi', 'jg', 'ajar', 'etikaadab', 'dlm', 'berpolitikkrn', 'bkn', 'negara', 'komunisotoriterapakah', 'rakyat', 'indonesia', 'anggap', 'bodoh', 'dn', 'suara', 'paham']",Negative
"['milih', 'mmg', 'rakyat']",Neutral
"['bingung', 'undang']",Negative
"['milih', 'rakyat', 'nyoblos', 'rakyat', 'mayoritas', 'ngga', 'demen', 'dinasti', 'politik']",Negative
"['rupiah', 'aman', 'masyarakat', 'belanja', 'pakai', 'rupiah', 'politik', 'dinasti', 'noproblem']",Positive
"['tinggal', 'rakyat', 'milih', 'gamau', 'politik', 'dinasti', 'tinggal', 'nyoblos', 'anies']",Negative
"['milih', 'rakyat', 'ngutakngatik', 'atur', 'hukum', 'kuasa']",Neutral
"['protes', 'wanti', 'wanti', 'politik', 'dinasti', 'anak', 'menantu', 'jokowi', 'maju', 'politik']",Negative
"['emang', 'bener', 'milih', 'rakyat']",Positive
"['denn', 'politik', 'dinasti', 'politik', 'dinasti', 'orang', 'milih', 'rakyat', 'salahin', 'rakyat', 'milih', 'wkwk']",Positive
"['politik', 'dinasti', 'waris']",Neutral
"['tanggap', 'jokowi', 'hubung', 'megawati', 'perihal', 'politik', 'dinasti', 'rada', 'rada', 'kagak', 'nyambung']",Neutral
"['crack', 'id', 'dinasti', 'politik', 'sistem', 'raja']",Neutral
"['halah', 'gue', 'paham', 'main', 'kaliankeenakan', 'suara', 'pildun', 'isu', 'bawa', 'pilpres', 'kau', 'fikir', 'rakyat', 'milih', 'presiden', 'fifa', 'rakyat', 'ngga', 'lupa', 'dinasti', 'politik', 'banding', 'isu', 'receh', 'mu', 'alih', 'isu', 'basi']",Positive
"['politik', 'dinasti', 'udah']",Neutral
"['nurfatoni', 'tweet', 'cari', 'literatur', 'deh', 'politik', 'dinasti', 'politik', 'dinasti', 'kuasa', 'limpah', 'langsung', 'lha', 'milih', 'rakyat']",Neutral
"['mujani', 'politik', 'dinasti', 'demokrasi', 'sesuai', 'konstitusi', 'kerja', 'rakyat', 'korupsi']",Negative
"['nahhh', 'bener', 'mas', 'gitu', 'counter', 'issue', 'ngga', 'politik', 'dinasti']",Positive
"['id', 'gue', 'jg', 'bingung', 'bang']",Negative
"['dinasti', 'politik', 'gua', 'gua', 'dukung', 'prabowo']",Negative
['aj'],Neutral
['pikir'],Neutral
"['oia', 'jg', 'dinasti', 'politik']",Neutral
['demokrasi'],Neutral
"['nakula', 'politik', 'dinasti', 'kayak', 'korea', 'utara', 'langsung', 'nunjuk', 'anak', 'demokrasi', 'milih', 'rkayat', 'politik', 'dinastikocak', 'cebong', 'gurun', 'mega', 'drdolo', 'jual', 'puan', 'tp', 'laku', 'maksain', 'nyapres', 'jg', 'dah', 'pas', 'kalah', 'kar']",Positive
"['milih', 'rakyat']",Neutral
"['politik', 'dinasti', 'politik', 'ngga', 'usia', 'cawapres', 'thn', 'nama', 'mundur']",Neutral
"['politik', 'dinasti', 'rakyat', 'langsung', 'milih', 'pilih']",Neutral
"['nyata', 'henti', 'komentar', 'dinasti', 'politik', 'dinasti', 'politik', 'syarat', 'seleksi', 'laku', 'elit', 'pilih', 'eleksi', 'laku', 'elit', 'rakyat', 'milih']",Negative
"['nurfatoni', 'tweet', 'politik', 'dinasti']",Neutral
"['anak', 'menantu', 'walikota', 'milih', 'rakyat']",Neutral
"['milih', 'rakyat', 'tohh', 'gaada', 'pilih', 'gaakan', 'jga', 'politik', 'dinasti', 'simpel']",Negative
"['istilah', 'politik', 'dinasti', 'negara']",Negative
"['prabowo', 'menang', 'wow', 'banget', 'rakyat', 'indonesia', 'politik', 'dinasti', 'beneran', 'ganjar', 'menang', 'edan', 'milih', 'anak', 'nenek', 'wkwk', 'isu', 'korupsi', 'politik', 'identitas']",Positive
"['dinasti', 'politik', 'pdhl', 'langsung', 'milih', 'rakyat']",Neutral
