id_str,full_text
1.71724E+18,@HusinShihab bacot. di tempat gue bapaknya caleg pdi
1.71719E+18,@Ajib20293663 Politik dinasti itu klo di tunjuk lsg anak jd menteri misal nya   Klo si gibran itu msih harus di pilih rakyat
1.71719E+18,@m_nurfatoni @gibran_tweet maksudnya politik dinasti??? lah ini yg milih rakyat
1.71713E+18,@Dadank89204401 @obed_suyatno @AirinDatangLagi salahnya politik dinasti? kan yang milih rakyat? https://t.co/I6IpBILJEz
1.7171E+18,@hilmi_ji @officialbilsam @planetaneptunus @Gerindra @PolJokesID politik dinasti apaan?   kalau ujung-ujungnya rakyat yang milih ya nggak dinasti
1.71708E+18,@ekokuntadhi1 Sama2 dinasti
1.71708E+18,@narkosun Justru yg milih YA itu org bodoh
1.71706E+18,Rakyat cuma milih iya apa tidak
1.71702E+18,@CNNIndonesia Dinasti (kalau memang itu disebut dinasti) silakan saja wong yang milih rakyat. Tapi jangan juga pakai acara mengoprek UU pak
1.71702E+18,Ini gak disebut MENATA KATA? Spt ISU sudah BUKAN KELUARGA karena BEDA Kartu Keluarga (KK). #Dagelan Yang Milih Rakyat agar terlihat Alami tapi yang NGATUR/CAWE² ya Bapaknya. 🤮 Terlalu LUGU bin DUNGU Orang² yg dukung ALASAN Bapak ini ttg POLITIK DINASTI.  \Mukenye sih Ndeso...
1.717E+18,@narkosun Itu menunjukkan bhw rakyat Konoha itu gampang di bodohi
1.71699E+18,dinasti politik. Yg milih rakyat bukan elit politik. Kalau pun memang tidak menyalahgunakan kekuasaan
1.71697E+18,@prabu_2112 @Putra_Adi_YM @saiful_mujani Ya betul tapi kalau semua paham dari situlah politik dinasti dimulai karena tidak akan mungkin kalahlah kalau anak/ menantu ikut pilkada dan dulu malah dibela yg milih rakyat lah dan imbasnya sekarang karena kekuas
1.71695E+18,politik dinasti dr mana wkwk yg milih kan rakyat🤣
1.71689E+18,Ini
1.71685E+18,Terkait politik dinasti
1.71684E+18,@KompasTV Dlm negara demokrasi yg milih rakyat itu bener Pak @jokowi tp dlm negara demokrasi jg diajarkan tentang etika/adab dlm berpolitik..krn kita bkn negara komunis/otoriter..apakah rakyat indonesia semuanya dianggap bodoh dn satu suara soal pemahaman
1.71678E+18,@CNNIndonesia Yg milih mmg rakyat
1.71678E+18,Aku juga bingung. Secara undang2
1.71677E+18,@tvOneNews yang milih rakyat yang nyoblos rakyat kalo mayoritas gak demen sama dinasti politik
1.71672E+18,@liputan6dotcom Rupiah masih aman (karena masyarakat belanjanya pakai rupiah). Politik Dinasti noproblem
1.71672E+18,@Mbahhardiman @kumparan Tinggal rakyat yg milih . Kalo gamau politik dinasti tinggal nyoblos anies
1.7167E+18,@Lembayung071 Yang milih memang rakyat tapi yang ngutak-ngatik peraturan dan hukum itu kekuasaan
1.7167E+18,@Dennysiregar7 dulu kami sudah protes dan wanti wanti politik dinasti saat anak menantu Jokowi maju di politik
1.71669E+18,@kompascom Emang bener yg milih rakyat
1.71669E+18,@hiiii_denn @ernestprakasa Politik dinasti politik dinasti. Org yg milih aja rakyat 😂 ya salahin rakyat dong yg milih wkwk
1.71668E+18,Politik dinasti itu diwariskan
1.71668E+18,Tanggapan Jokowi saat ditanya Hubungan dengan Megawati dan Perihal soal Politik Dinasti.   Seperti biasa jawabannya rada rada kagak nyambung
1.71666E+18,@Flying_Crack @neohistoria_id Dinasti politik kalau itu sistemnya kerajaan
1.71665E+18,Halah dari awal gw juga paham cara main kalian.keenakan suara naik karena pildun20 terus isunya mau dibawa terus ke pilpres. Kau fikir rakyat mau milih presiden FIFA. Rakyat tetap gak akan lupa Dinasti politik dibanding isu recehan mu. Pengalihan isumu basi.   🤏🤣
1.71665E+18,Politik dinasti ini udah dari dulu
1.71665E+18,@m_nurfatoni @gibran_tweet Cari literatur lagi deh pak soal politik Dinasti. Kalo politik Dinasti itu kekuasaan yg dilimpahkan lgsg lha ini kan yg milih rakyat
1.71658E+18,@saiful_mujani Politik Dinasti   TIDAK ADA dalam demokrasi Asal - sesuai konstitusi - bisa bekerja  buat rakyat  - tidak korupsi 
1.71655E+18,@GibranRakabumi Nahhh bener mas gitu dong di counter issue.  Gak ada politik dinasti lagi
1.71648E+18,@BlTTERSWlFT @riouchida00 @neohistoria_id Gue jg bingung bang
1.71647E+18,kalo ditanya soal dinasti politik ke gua bukan karena gua dukung prabowo ya
1.71645E+18,@kumparan Sama aj
1.71642E+18,jadi kepikiran
1.7164E+18,Oia banyak jg bilang dinasti politik
1.71637E+18,Ini kan demokrasi
1.71635E+18,@PINJOLBIADAB @03__nakula politik dinasti itu kayak korea Utara langsung nunjuk anaknya jd penerusnya demokrasi yg milih rkayat kok politik dinasti?kocak cebong gurun ini itu mega drdolo jualan puan tp g laku mau maksain nyapres jg dah pas pasti kalah kar
1.71634E+18,@WinnerWave_ @dawiguna @Nordicblackmtl Yang milih kan rakyat
